#LIBRARY    ENDF/B-VII.0
#REACTION   H-3(T,2N)HE-4,SIG
#NUCLEUS    H-3
#MF         3
#MT         16
#EN-MIN     100
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.4E+06     0.13608      Lin-Lin
 2.5E+06     0.13165      Lin-Lin
 2.60914E+06 0.123334     Lin-Lin
 2.7018E+06  0.116934     Lin-Lin
 2.80474E+06 0.110445     Lin-Lin
 2.93345E+06 0.103131     Lin-Lin
 3E+06       0.099658     Lin-Lin
 3.08426E+06 0.093281     Lin-Lin
 3.1566E+06  0.0882586    Lin-Lin
 3.23915E+06 0.082983     Lin-Lin
 3.33E+06    0.07768      Lin-Lin
 3.41394E+06 0.0731977    Lin-Lin
 3.5E+06     0.068974     Lin-Lin
 3.61881E+06 0.0645991    Lin-Lin
 3.74556E+06 0.0603779    Lin-Lin
 3.8889E+06  0.0560869    Lin-Lin
 4E+06       0.05307      Lin-Lin
 4.16364E+06 0.0497395    Lin-Lin
 4.30574E+06 0.0471133    Lin-Lin
 4.4697E+06  0.0443515    Lin-Lin
 4.65231E+06 0.0415718    Lin-Lin
 4.82302E+06 0.0392193    Lin-Lin
 5E+06       0.037        Lin-Lin
 5.31162E+06 0.0346623    Lin-Lin
 5.58732E+06 0.0328196    Lin-Lin
 5.91122E+06 0.0308826    Lin-Lin
 6.26492E+06 0.0290048    Lin-Lin
 6.51814E+06 0.0277903    Lin-Lin
 6.83555E+06 0.0263999    Lin-Lin
 7E+06       0.025731     Lin-Lin
 7.46332E+06 0.024415     Lin-Lin
 7.87459E+06 0.0233655    Lin-Lin
 8.35932E+06 0.0222497    Lin-Lin
 8.91183E+06 0.0211133    Lin-Lin
 9.44025E+06 0.0201402    Lin-Lin
 1E+07       0.019212     Lin-Lin
 1.1941E+07  0.0185988    Lin-Lin
 1.39019E+07 0.0180887    Lin-Lin
 1.5E+07     0.017839     Lin-Lin
 1.86121E+07 0.0173447    Lin-Lin
 2E+07       0.017183     Lin-Lin
#END
